date,demand_MW,temp_c,wind_ms,precip_mm,sunshine_h,global_rad,pressure_hpa,humidity_pct,cloudiness,nao,price_eur_kwh,gdp_mln_eur,population,wind_energy_gwh,solar_energy_gwh,day_of_week,month,is_weekend,is_holiday
2012-06-17,9843.458333333334,15.6,4.7,0.0,5.1,1732,1018.5,71,6.0,-2.53,0.11733333333333333,161166.15384615384,16758.384615384617,415.1666666666667,15.916666666666666,6,6,1,0
2012-06-18,12212.125,14.4,2.9,10.2,4.3,1418,1016.3,81,6.0,-2.53,0.11733333333333333,161080.2857142857,16758.571428571428,415.1666666666667,15.916666666666666,0,6,0,0
2012-06-19,12239.0,15.3,1.8,0.0,8.3,2226,1019.8,74,4.0,-2.53,0.11733333333333333,160994.41758241758,16758.75824175824,415.1666666666667,15.916666666666666,1,6,0,0
2012-06-20,12391.833333333334,17.7,3.3,0.0,4.9,1926,1015.8,74,6.0,-2.53,0.11733333333333333,160908.54945054944,16758.945054945056,415.1666666666667,15.916666666666666,2,6,0,0
2012-06-21,12610.583333333334,17.8,4.2,16.9,3.3,1616,1009.9,82,6.0,-2.53,0.11733333333333333,160822.6813186813,16759.13186813187,415.1666666666667,15.916666666666666,3,6,0,0
2012-06-22,12195.875,15.4,6.3,5.4,7.9,1751,1014.6,71,6.0,-2.53,0.11733333333333333,160736.81318681317,16759.31868131868,415.1666666666667,15.916666666666666,4,6,0,0
2012-06-23,10433.416666666666,15.7,5.1,0.0,6.0,1874,1020.5,68,7.0,-2.53,0.11733333333333333,160650.94505494504,16759.505494505494,415.1666666666667,15.916666666666666,5,6,1,0
2012-06-24,9976.583333333334,13.7,4.5,11.4,2.7,787,1011.9,84,7.0,-2.53,0.11733333333333333,160565.07692307694,16759.69230769231,415.1666666666667,15.916666666666666,6,6,1,0
2012-06-25,11956.333333333334,14.3,4.0,0.0,7.4,1610,1016.3,79,5.0,-2.53,0.11733333333333333,160479.2087912088,16759.879120879123,415.1666666666667,15.916666666666666,0,6,0,0
2012-06-26,12006.041666666666,16.2,1.9,0.0,10.3,2206,1020.9,72,5.0,-2.53,0.11733333333333333,160393.34065934067,16760.065934065933,415.1666666666667,15.916666666666666,1,6,0,0
2012-06-27,12480.458333333334,18.0,2.6,0.7,0.7,693,1017.0,88,8.0,-2.53,0.11733333333333333,160307.47252747254,16760.252747252747,415.1666666666667,15.916666666666666,2,6,0,0
2012-06-28,12849.708333333334,22.3,3.3,0.0,6.3,1915,1008.1,77,6.0,-2.53,0.11733333333333333,160221.6043956044,16760.43956043956,415.1666666666667,15.916666666666666,3,6,0,0
2012-06-29,12503.041666666666,19.1,3.2,0.3,5.0,1618,1008.2,69,5.0,-2.53,0.11733333333333333,160135.73626373627,16760.626373626375,415.1666666666667,15.916666666666666,4,6,0,0
2012-06-30,10785.375,19.1,3.8,4.9,8.7,2297,1011.1,71,6.0,-2.53,0.11733333333333333,160049.86813186813,16760.813186813186,415.1666666666667,15.916666666666666,5,6,1,0
2012-07-01,9946.875,15.4,4.6,0.2,9.9,1924,1015.9,70,4.0,-1.32,0.10625,159964.0,16761.0,415.1666666666667,15.916666666666666,6,7,1,0
